HEADER,SAMPLE,4
HEADER,HEURISTICS,EXPERIENCE,1,CURIOSITY,1,ACHIEVEMENT,1,COMPLETION,1,AGGRESSION,1,ADRENALINE,1,CAUTION,1,EFFICIENCY,1,
HEADER,Low,1,Med,1,High,1,
POSITION,7.254548,-17.84271,0.231843,14.26085,0,308.7678,0,100
POSITION,7.505603,-18.52783,0.231843,14.81105,0,308.7678,0,100
POSITION,7.756864,-19.2135,0.231843,15.36172,0,308.7678,0,100
POSITION,8.009113,-19.90186,0.231843,15.91454,0,308.7678,0,100
POSITION,8.256724,-20.57757,0.231843,16.4572,0,308.7678,0,100
POSITION,8.505035,-21.2552,0.231843,17.0014,0,308.7678,0,100
POSITION,8.755879,-21.93973,0.231843,17.55113,0,308.7678,0,100
POSITION,9.008039,-22.62786,0.231843,18.10377,0,308.7678,0,100
POSITION,9.255715,-23.30375,0.231843,18.64658,0,308.7678,0,100
INTERACTION,9.461238,Robot Kyle (17),-24.63334,0.4334648,19.71437,100
COMBAT,9.461238,High,0,0,-5.96563,94.03437,0,9.461238,
POSITION,9.507443,-23.99069,0.231843,19.19826,0,308.7678,0,94.03437
POSITION,9.753768,-24.64455,0.231843,19.74964,0,310.3074,0,94.03437
POSITION,10.00659,-24.99012,0.231843,20.51276,0,329.6505,0,94.03437
POSITION,10.2569,-25.14869,0.231843,21.37436,0,343.83,0,94.03437
POSITION,10.5074,-25.30738,0.231843,22.2366,0,347.7334,0,94.03437
POSITION,10.75851,-25.46647,0.231843,23.101,0,348.9853,0,94.03437
POSITION,11.0061,-25.62331,0.231843,23.95323,0,349.3817,0,94.03437
POSITION,11.25732,-25.78246,0.231843,24.81796,0,349.5113,0,94.03437
POSITION,11.50888,-25.85404,0.231843,25.69267,0,354.3582,0,94.03437
POSITION,11.75757,-25.86932,0.231843,26.56296,0,357.496,0,94.03437
POSITION,12.00826,-25.88474,0.231843,27.44026,0,358.5141,0,94.03437
POSITION,12.25456,-25.89988,0.231843,28.30216,0,358.8369,0,94.03437
POSITION,12.50775,-25.91545,0.231843,29.18819,0,358.9438,0,94.03437
POSITION,12.75986,-25.93094,0.231843,30.07045,0,358.9776,0,94.03437
POSITION,13.00798,-25.9462,0.231843,30.93871,0,358.9881,0,94.03437
POSITION,13.25809,-25.96158,0.231843,31.81396,0,358.9915,0,94.03437
POSITION,13.50752,-25.97692,0.231843,32.68684,0,358.9926,0,94.03437
POSITION,13.75822,-25.98393,0.231843,33.56425,0,359.4534,0,94.03437
POSITION,14.00638,-25.98559,0.231843,34.4328,0,359.7494,0,94.03437
POSITION,14.25742,-25.98727,0.231843,35.31145,0,359.8457,0,94.03437
POSITION,14.50533,-25.98892,0.231843,36.17913,0,359.8763,0,94.03437
POSITION,14.75624,-25.99059,0.231843,37.05733,0,359.8862,0,94.03437
POSITION,15.00669,-25.99225,0.231843,37.9339,0,359.8894,0,94.03437
POSITION,15.25798,-25.99393,0.231843,38.81342,0,359.8904,0,94.03437
POSITION,15.50513,-25.99557,0.231843,39.67843,0,359.8907,0,94.03437
POSITION,15.75991,-25.99728,0.231843,40.57018,0,359.8908,0,94.03437
POSITION,16.00925,-26.04884,0.231843,41.41474,0,356.4201,0,94.03437
POSITION,16.25387,-26.45966,0.231843,42.03159,0,335.053,0,94.03437
POSITION,16.50705,-27.21922,0.231843,42.45881,0,310.333,0,94.03437
POSITION,16.75785,-27.99732,0.231843,42.86516,0,301.6536,0,94.03437
POSITION,17.00728,-28.77112,0.231843,43.26927,0,298.8885,0,94.03437
POSITION,17.25531,-29.54061,0.231843,43.67112,0,298.0015,0,94.03437
POSITION,17.50597,-30.31829,0.231843,44.07726,0,297.7119,0,94.03437
POSITION,17.75414,-31.08817,0.231843,44.47931,0,297.6198,0,94.03437
POSITION,18.00602,-31.86963,0.231843,44.88744,0,297.5895,0,94.03437
POSITION,18.25558,-32.64386,0.231843,45.29176,0,297.58,0,94.03437
POSITION,18.50351,-33.3931,0.231843,45.72285,0,300.076,0,94.03437
POSITION,18.75397,-34.05674,0.231843,46.29559,0,307.3652,0,94.03437
POSITION,19.00775,-34.72911,0.231843,46.87605,0,309.7182,0,94.03437
POSITION,19.25706,-35.38961,0.231843,47.44629,0,310.4549,0,94.03437
POSITION,19.50388,-36.04348,0.231843,48.01081,0,310.6909,0,94.03437
POSITION,19.75396,-36.70599,0.231843,48.58278,0,310.7683,0,94.03437
POSITION,20.01035,-37.38521,0.231843,49.16916,0,310.7935,0,94.03437
POSITION,20.25485,-38.03297,0.231843,49.7284,0,310.8013,0,94.03437
POSITION,20.50762,-38.70049,0.231843,50.30468,0,313.8646,0,94.03437
POSITION,20.75611,-39.12926,0.231843,50.67487,0,342.8873,0,94.03437
POSITION,21.0764,-39.20718,0.231843,50.74213,0,9.01139,0,94.03437
POSITION,21.25412,-39.20718,0.231843,50.74213,0,9.01139,0,94.03437
POSITION,21.5056,-39.20718,0.231843,50.74213,0,9.01139,0,94.03437
POSITION,21.75518,-39.20718,0.231843,50.74213,0,324.3069,0,94.03437
POSITION,22.00434,-39.20718,0.231843,50.74213,0,264.3739,0,94.03437
POSITION,22.25525,-39.20718,0.231843,50.74213,0,251.6099,0,94.03437
POSITION,22.50766,-39.20718,0.231843,50.74213,0,251.6099,0,94.03437
POSITION,22.75714,-39.20718,0.231843,50.74213,0,273.7174,0,94.03437
POSITION,23.00431,-39.20718,0.231843,50.74213,0,303.4244,0,94.03437
POSITION,23.2574,-39.31871,0.231843,50.83841,0,310.5206,0,94.03437
INTERACTION,23.41698,Robot Kyle (6),-40.33334,0.2434648,51.71437,94.03437
COMBAT,23.41698,High,11,11,-60.08831,33.94606,0,34.41698,
POSITION,23.5065,-39.79738,0.231843,51.25166,0,310.6889,0,33.94606
POSITION,23.75674,-40.33334,0.231843,51.71437,0,310.7609,0,33.94606
POSITION,24.01199,-40.33076,0.231843,51.71515,0,314.368,0,33.94606
POSITION,24.25716,-40.04823,0.231843,51.80055,0,343.7881,0,33.94606
POSITION,24.50745,-39.31308,0.231843,52.02273,0,13.82333,0,33.94606
POSITION,24.75757,-38.47071,0.231843,52.26027,0,43.83742,0,33.94606
POSITION,25.0066,-37.62667,0.231843,52.4777,0,65.14117,0,33.94606
POSITION,25.25758,-36.776,0.231843,52.69683,0,72.22514,0,33.94606
POSITION,25.50609,-35.93372,0.231843,52.9138,0,74.47804,0,33.94606
POSITION,25.75707,-35.08302,0.231843,53.13293,0,75.21229,0,33.94606
POSITION,26.00633,-34.2382,0.231843,53.35054,0,75.44445,0,33.94606
POSITION,26.25775,-33.3861,0.231843,53.57004,0,75.51965,0,33.94606
POSITION,26.50694,-32.5415,0.231843,53.7876,0,75.54347,0,33.94606
POSITION,26.75581,-31.69799,0.231843,54.00489,0,75.55115,0,33.94606
POSITION,27.01133,-30.83196,0.231843,54.22797,0,75.55363,0,33.94606
POSITION,27.25406,-30.00925,0.231843,54.43991,0,75.55442,0,33.94606
POSITION,27.50575,-29.15616,0.231843,54.65967,0,75.55463,0,33.94606
POSITION,27.75898,-28.2979,0.231843,54.88076,0,75.55467,0,33.94606
POSITION,28.00875,-27.45133,0.231843,55.09883,0,75.55467,0,33.94606
POSITION,28.25894,-26.60337,0.231843,55.31726,0,75.55467,0,33.94606
POSITION,28.5084,-25.75785,0.231843,55.53507,0,75.55468,0,33.94606
POSITION,28.75474,-24.92293,0.231843,55.75015,0,75.5547,0,33.94606
POSITION,29.0093,-24.06011,0.231843,55.97242,0,75.55472,0,33.94606
POSITION,29.25838,-23.21592,0.231843,56.18989,0,75.55475,0,33.94606
POSITION,29.5051,-22.37968,0.231843,56.40531,0,75.55476,0,33.94606
POSITION,29.75774,-21.52341,0.231843,56.62588,0,75.55477,0,33.94606
POSITION,30.00702,-20.67855,0.231843,56.84349,0,75.55479,0,33.94606
POSITION,30.25419,-19.84078,0.231843,57.05931,0,75.55479,0,33.94606
POSITION,30.52423,-18.92554,0.231843,57.29507,0,75.55482,0,33.94606
POSITION,30.75711,-18.1362,0.231843,57.49841,0,75.55482,0,33.94606
POSITION,31.00718,-17.28864,0.231843,57.71673,0,75.55482,0,33.94606
POSITION,31.30279,-16.2867,0.231843,57.97483,0,75.55486,0,33.94606
POSITION,31.552,-15.44203,0.231843,58.19241,0,75.55486,0,33.94606
POSITION,31.77989,-14.66963,0.231843,58.39138,0,75.55486,0,33.94606
POSITION,32.03052,-13.82017,0.231843,58.6102,0,75.55486,0,33.94606
POSITION,32.28754,-12.949,0.231843,58.83461,0,75.55486,0,33.94606
POSITION,32.50426,-12.21451,0.231843,59.02382,0,75.55487,0,33.94606
POSITION,32.75653,-11.35948,0.231843,59.24408,0,75.55487,0,33.94606
POSITION,33.00713,-10.51007,0.231843,59.46288,0,75.55487,0,33.94606
POSITION,33.2552,-9.669326,0.231843,59.67947,0,75.55487,0,33.94606
POSITION,33.50664,-8.817145,0.231843,59.89897,0,75.55487,0,33.94606
POSITION,33.75612,-7.971614,0.231843,60.11678,0,75.55489,0,33.94606
POSITION,34.006,-7.124678,0.231843,60.33494,0,75.55489,0,33.94606
POSITION,34.25689,-6.2743,0.231843,60.55399,0,75.55489,0,33.94606
POSITION,34.50439,-5.435422,0.231843,60.77008,0,75.55489,0,33.94606
POSITION,34.75412,-4.58905,0.231843,60.98811,0,75.55489,0,33.94606
POSITION,35.00697,-3.732114,0.231843,61.20886,0,75.55495,0,33.94606
POSITION,35.2552,-2.890742,0.231843,61.42559,0,75.55502,0,33.94606
POSITION,35.50634,-2.039587,0.231843,61.64483,0,75.55503,0,33.94606
POSITION,35.76502,-1.162796,0.231843,61.87069,0,75.55505,0,33.94606
INTERACTION,35.8153,Robot Kyle (12),-0.0252161,0.1734648,62.16372,33.94606
COMBAT,35.8153,High,12,1,-6.907932,27.03812,0,47.8153,
POSITION,36.0054,-0.3480898,0.231843,62.08054,0,75.55489,0,27.03812
POSITION,36.25389,0.3148221,0.231843,62.1943,0,81.202,0,27.03812
POSITION,36.5062,0.5651534,0.231843,61.97677,0,104.8562,0,27.03812
POSITION,36.75459,0.4064868,0.231843,61.47443,0,134.665,0,27.03812
POSITION,37.01078,-0.08562295,0.231843,60.75032,0,165.4075,0,27.03812
POSITION,37.25807,-0.5800857,0.231843,60.03995,0,194.319,0,27.03812
POSITION,37.50467,-1.073172,0.231843,59.33154,0,208.2158,0,27.03812
POSITION,37.75655,-1.557397,0.231843,58.6087,0,211.4837,0,27.03812
POSITION,38.00629,-1.66818,0.231843,57.91222,0,194.9837,0,27.03812
POSITION,38.28037,-1.228433,0.231843,57.20302,0,162.6422,0,27.03812
POSITION,38.51449,-0.6476237,0.231843,56.62503,0,144.0093,0,27.03812
POSITION,38.75533,-0.05014744,0.231843,56.03046,0,137.9207,0,27.03812
POSITION,39.01033,0.582474,0.231843,55.40092,0,135.8203,0,27.03812
POSITION,39.26047,1.203057,0.231843,54.78336,0,135.165,0,27.03812
POSITION,39.50644,1.813277,0.231843,54.1761,0,134.9599,0,27.03812
POSITION,39.75802,2.437423,0.231843,53.55499,0,134.892,0,27.03812
POSITION,40.00906,3.060209,0.231843,52.93522,0,134.8705,0,27.03812
POSITION,40.25623,3.718973,0.231843,52.40141,0,129.1983,0,27.03812
POSITION,40.50562,4.54857,0.231843,52.14391,0,113.9395,0,27.03812
POSITION,40.75964,5.402943,0.231843,51.8981,0,108.5403,0,27.03812
POSITION,41.00813,6.238738,0.231843,51.65761,0,106.8569,0,27.03812
POSITION,41.25957,7.084424,0.231843,51.41428,0,106.293,0,27.03812
POSITION,41.50529,7.910929,0.231843,51.17647,0,106.1302,0,27.03812
POSITION,41.75571,8.753255,0.231843,50.93412,0,106.0764,0,27.03812
POSITION,42.00829,9.602835,0.231843,50.68969,0,106.0591,0,27.03812
POSITION,42.26684,10.47247,0.231843,50.43948,0,106.0535,0,27.03812
POSITION,42.50807,11.27502,0.231843,50.1901,0,107.4212,0,27.03812
POSITION,42.75841,11.9524,0.231843,49.6568,0,122.7764,0,27.03812
POSITION,43.00603,12.58531,0.231843,49.06479,0,129.7551,0,27.03812
POSITION,43.25813,13.22969,0.231843,48.46205,0,132.0311,0,27.03812
POSITION,43.5077,13.86762,0.231843,47.86534,0,132.7481,0,27.03812
POSITION,43.75523,14.50034,0.231843,47.27351,0,132.9776,0,27.03812
POSITION,44.00774,15.14575,0.231843,46.66981,0,133.0528,0,27.03812
POSITION,44.25829,15.78618,0.231843,46.07077,0,133.0765,0,27.03812
POSITION,44.509,16.42699,0.231843,45.47134,0,133.084,0,27.03812
POSITION,44.75859,17.06499,0.231843,44.87458,0,133.0862,0,27.03812
POSITION,45.01027,17.69655,0.231843,44.26058,0,134.0015,0,27.03812
POSITION,45.25977,18.3161,0.231843,43.64523,0,134.5468,0,27.03812
POSITION,45.50796,18.93245,0.231843,43.03307,0,134.7211,0,27.03812
POSITION,45.76036,19.55926,0.231843,42.41052,0,134.7782,0,27.03812
POSITION,46.00819,20.1747,0.231843,41.79928,0,134.796,0,27.03812
POSITION,46.25594,20.78999,0.231843,41.18818,0,134.8017,0,27.03812
POSITION,46.50814,21.41627,0.231843,40.56615,0,134.8035,0,27.03812
POSITION,46.7568,22.03381,0.231843,39.95279,0,134.804,0,27.03812
POSITION,47.0114,22.66608,0.231843,39.32484,0,134.8041,0,27.03812
POSITION,47.25728,23.27667,0.231843,38.7184,0,134.8041,0,27.03812
POSITION,47.51038,23.93719,0.231843,38.12828,0,132.5259,0,27.03812
POSITION,47.75988,24.59153,0.231843,37.55005,0,131.8052,0,27.03812
POSITION,48.01566,25.26239,0.231843,36.95723,0,131.5714,0,27.03812
POSITION,48.26424,25.91438,0.231843,36.38108,0,131.5,0,27.03812
POSITION,48.5103,26.55969,0.231843,35.81083,0,131.4773,0,27.03812
POSITION,48.76131,27.21806,0.231843,35.22904,0,131.4699,0,27.03812
POSITION,49.0086,27.86663,0.231843,34.6559,0,131.4675,0,27.03812
POSITION,49.26373,28.53578,0.231843,34.06458,0,131.4668,0,27.03812
POSITION,49.50816,29.17685,0.231843,33.49807,0,131.4665,0,27.03812
POSITION,49.7565,29.82818,0.231843,32.92251,0,131.4664,0,27.03812
POSITION,50.00887,30.4901,0.231843,32.33759,0,131.4664,0,27.03812
POSITION,50.25618,31.1307,0.231843,31.7715,0,137.5132,0,27.03812
POSITION,50.50699,31.52221,0.231843,31.42554,0,167.4862,0,27.03812
POSITION,50.76509,31.57687,0.231843,31.37724,0,190.6645,0,27.03812
POSITION,51.01541,31.57687,0.231843,31.37724,0,190.6645,0,27.03812
POSITION,51.26009,31.57687,0.231843,31.37724,0,179.7714,0,27.03812
POSITION,51.50734,31.57687,0.231843,31.37724,0,120.343,0,27.03812
POSITION,51.75576,31.57687,0.231843,31.37724,0,72.18948,0,27.03812
POSITION,52.00625,31.57687,0.231843,31.37724,0,72.18948,0,27.03812
POSITION,52.25623,31.57687,0.231843,31.37724,0,76.74162,0,27.03812
